ID_2	Xt	Yt	MOS	pH	ARC
256	376539.45	6419165.35	0.55	7.1	6.7
351	311319.28	6250933.95	0.62	6.7	7.2
354	322774.56	6196569.08	0.68	6.4	5.7
327	342963.04	6193914.84	0.73	6.9	6.2
356	314626.09	6153623.93	0.78	6.6	11.4
239	394375.15	6156444.52	0.82	6.5	8.8
300	364634.38	6141008.11	0.83	6.5	11.5
121	478163.29	6197930.61	0.84	8.1	12.3
13	583401.29	6415459.43	0.86	10	10.2
384	250409.82	6572977.82	0.87	7.4	7.2
299	354127	6154878.16	0.87	6.7	6.4
355	313315.45	6173792.07	0.88	6.5	9.6
328	343616.12	6170951.63	0.9	6.4	0
176	440967.5	6227406.82	0.92	9.2	10.2
85	501033.99	6417871.62	0.97	8.6	12.9
301	322034.07	6722198.55	0.98	8	44.6
387	251673.61	6518741.32	1	7.5	6.9
240	400352.31	6138833.54	1.01	6.6	12.1
304	333942.32	6663125.3	1.02	7.9	27.1
271	348711.77	6711924.3	1.08	7.2	6.4
209	414970.18	6156712.11	1.12	6.4	12.2
325	342413.26	6226848.9	1.13	6.8	10.6
125	454257.61	6632301.93	1.14	7.1	16.3
59	521565.99	6479407.82	1.15	7.5	25.4
297	372915.38	6201693.21	1.16	6.8	8.4
303	342934.94	6678616.6	1.16	7.4	10
228	401547.59	6373100.2	1.16	6.16	4.1
333	314936.82	6654861.62	1.17	7.3	9.5
120	479213.36	6220086.55	1.18	8.8	15.8
235	398589.21	6235904.79	1.18	9.6	12.8
386	251686.09	6530851.08	1.2	7.5	9.7
296	365058.97	6217702.16	1.21	6.4	10.5
349	323918.45	6296466.95	1.22	6.3	11.1
352	316141.01	6234886.63	1.23	6.5	11.9
295	357728.13	6243261.45	1.23	6.3	11.4
324	331109.74	6247386.21	1.24	6.7	10
199	416997.72	6363301.56	1.24	6.93	7.2
208	421888.16	6180591.73	1.26	6.2	15.5
298	369232.85	6178825.41	1.27	6.7	13.2
350	313421.09	6284488.11	1.27	6.4	11.5
40	538352.25	6481363.71	1.27	6.6	19
390	259768.22	6551775.97	1.28	7.2	8.5
229	401702.31	6355988.66	1.29	5.88	9.9
207	413075.1	6197489.78	1.29	6.3	13.3
322	343471.42	6292973.66	1.3	6.1	16.6
173	440484.77	6275979.3	1.3	5.5	8
115	472700.37	6317987.42	1.31	5.48	18.5
329	336324.51	6164347.09	1.31	6.7	20.6
237	393126.66	6195884.81	1.35	6.2	12.1
267	372920.76	6201697.05	1.39	6.6	11.8
169	446602.99	6357883.3	1.39	6.03	5.2
381	277578.34	6454922.98	1.4	6.9	9.1
269	374283.45	6155857.43	1.42	6.8	8.2
136	459339.54	6416019.79	1.43	7.2	19.5
