ID_2	Xt	Yt	Altitude_GPS (m)	Altitude_STRM (m)	CE (dS/m)	MOS (%)	C:N	NT (%)	CIC (Cmol /kg)	pH	Ca (Cmol /kg)	Mg (Cmol /kg)	Na (Cmol /kg)	K (Cmol /kg)	P (mg/kg)	Fe (mg/kg)	Mn (mg/kg)	Cu (mg/kg)	Zn (mg/kg)	CC (%)	CMP (%)	Arena (%)	Limo (%)	Arcilla (%)	Oxidos de Al (%)	Oxidos de Fe (%)	Ca (mg/kg)	Mg (mg/kg)	Na (mg/kg)	K (mg/kg)
2	603163.55	6576899.24	103	100	0.22	4.48	11.3	0.23	27.7	6.6	14.2	4.1	1.1	2.3	76.26	259.7	259.5	3.7	4.02	29.3	18.7	2.3	67	30.8	0.15	0.17	2840	492	253	897
3	596537.13	6390517.74	82	87	0.72	2.98	9.1	0.19	17.9	7.4	8.11	2.04	1.11	2.02	51.52	277.3	177.3	4.2	2.67	28.9	15	12	66	24	.	.	1622	244.8	255.3	787.8
4	595665.51	6380483.6	95	93	0.05	3.01	11.62	0.15	18	6.1	10.07	1.73	0.04	1.38	73.39	159	185.6	2.7	1.5	27.5	14.1	8.6	62.9	28.5	.	.	2014	207.6	9.2	538.2
5	601138.47	6353446.4	103	105	0.04	2.6	15.08	0.1	19.9	6.9	10.81	3.03	0.05	1.6	34.76	71.9	202.5	2.4	0.5	25.4	15.3	13.8	57.4	28.8	.	.	2162	363.6	11.5	624
6	601798.13	6344095.95	109	111	0.03	2.98	12.36	0.14	17.6	7.4	10.08	4.07	0.06	1.36	29.13	154.7	187.3	2.1	1.48	25.3	13.4	13.7	61.1	25.2	.	.	2016	488.4	13.8	530.4
7	587501.2	6615272.45	97	94	0.15	2.78	9.49	0.17	29	6.7	14.2	2.4	2	2.4	89.03	156.3	264	2	0.89	25.4	15.8	1.1	65.3	33.6	0.15	0.06	2840	288	460	936
8	589808.18	6593000.87	98	97	0.11	2.63	16.93	0.09	28.7	6.9	13.6	3.4	1.4	2.3	135	190.3	218.8	2.3	3.22	25.7	17.8	1.6	62.6	35.7	.	.	2720	408	322	897
9	585406.53	6575712.38	102	100	0.14	2.22	9.21	0.14	18.19	6	9.69	2.72	0.2	1.81	37.41	134.5	212	2.4	0.65	23.4	13	0.6	69.3	30.1	0.16	0.05	1938	326.4	46	705.9
10	584319.93	6552571.38	111	100	0.18	2.71	8.74	0.18	26.5	6.6	10.9	1.9	1.3	3	145	137.1	201.3	2.2	2.96	25.1	16.9	2.8	64.6	32.7	.	.	2180	228	299	1170
11	582795.8	6536823.17	114	108	0.26	4.66	10.01	0.27	29.4	6	12.78	4.58	0.11	2.33	86.99	166.9	272.3	3.1	3.57	33.5	.	7.8	59	33.2	0.17	0.08	2556	549.6	25.3	908.7
12	578393.83	6514829.82	109	103	0.14	2.28	8.8	0.15	24.8	6	8.22	4.24	0.13	2.24	90.98	134.1	188.9	2.6	1.49	29.3	.	5.8	68.5	25.6	0.15	0.09	1644	508.8	29.9	873.6
13	583401.29	6415459.43	97	103	0.69	0.86	10.02	0.05	10.9	10	5.8	1.74	1.88	2.3	18.81	21.5	235.6	1.8	0.71	21.8	8.2	16.1	73.7	10.2	0.06	0.02	1160	208.8	432.4	897
14	584191.34	6397970.97	109	113	0.17	3	10.22	0.17	18.3	5.6	8.27	3.84	0.04	1.99	87.81	119.4	206	2.9	0.84	25.9	13.4	10.9	59.8	29.3	.	.	1654	460.8	9.2	776.1
15	581920.37	6376827.26	113	111	0.09	2.6	10.79	0.14	16.88	6.7	10.75	2.4	0.13	1.78	17.17	72.7	170.4	2.3	0.98	24.7	12.4	14.3	61	24	0.13	0.07	2150	288	29.9	694.2
16	577542.57	6355541.79	86	86	0.3	1.5	8.73	0.1	15.4	8.4	8.06	2.56	1.05	1.93	17.99	38.7	222.5	2	0.05	23.6	12.5	19.9	61.8	18.3	0.16	0.1	1612	307.2	241.5	752.7
17	584591.65	6335073.9	111	111	0.15	4.44	12.94	0.2	20	6	11.41	2.96	1.5	1.7	60.11	210.2	209.8	3.1	3.76	28	17.2	15.8	56.7	27.5	.	.	2282	355.2	345	663
18	580626	6317237.45	116	112	0.09	2.78	12.91	0.13	22.25	7.1	11.95	3.66	1.9	2.1	40.38	130	208.3	3	2.06	25.4	14.1	17.7	44.8	37.5	.	.	2390	439.2	437	819
19	562987.43	6573479.28	106	120	0.43	4.1	12.51	0.19	28.5	6.8	10.68	2.96	0.05	2	167.64	86.1	205.5	2.5	2.69	25	15.7	5.8	63.1	31.2	.	.	2136	355.2	11.5	780
20	566036.41	6556136.64	105	114	0.26	2.36	9.76	0.14	28.8	6.4	13.5	2.7	1.3	2.3	74.52	165.9	256.5	2.3	0.31	25.3	15.6	5.2	61.5	33.4	.	.	2700	324	299	897
21	562334.29	6536964.65	111	109	0.24	2.17	9	0.14	25.88	6	11.56	2.5	0.05	2.38	74.62	125.1	202.1	2.3	0.01	24	14.3	8.4	61.1	30.5	.	.	2312	300	11.5	928.2
22	559369.85	6522721.97	109	103	0.16	2.32	8.41	0.16	22.7	5.8	11.48	2.34	0.09	2.24	80.14	172.9	133.7	3.1	1.24	25.1	14.6	3.3	64.4	32.4	0.11	0.12	2296	280.8	20.7	873.6
23	560281.99	6498670.52	106	112	0.59	1.89	9.13	0.12	13.63	6.1	8.84	2.36	0.58	1.43	121.23	216.2	161.2	2.1	3.68	22.6	10.8	22.5	56.3	21.2	.	.	1768	283.2	133.4	557.7
24	560549.49	6488512.66	111	111	0.22	2.3	8.35	0.16	22	5.8	9.28	2.02	0.1	2.17	73.7	240.4	251.9	2.2	2.15	25.8	11.3	20.3	55.4	24.3	.	.	1856	242.4	23	846.3
