"Xt"	"Yt"	"Limo"	"CC"	"K"
603163.55	6576899.24	67	29.3	2.3
596537.13	6390517.74	66	28.9	2.02
595665.51	6380483.6	62.9	27.5	1.38
601138.47	6353446.4	57.4	25.4	1.6
601798.13	6344095.95	61.1	25.3	1.36
587501.2	6615272.45	65.3	25.4	2.4
589808.18	6593000.87	62.6	25.7	2.3
585406.53	6575712.38	69.3	23.4	1.81
584319.93	6552571.38	64.6	25.1	3
582795.8	6536823.17	59	33.5	2.33
578393.83	6514829.82	68.5	29.3	2.24
583401.29	6415459.43	73.7	21.8	2.3
584191.34	6397970.97	59.8	25.9	1.99
581920.37	6376827.26	61	24.7	1.78
577542.57	6355541.79	61.8	23.6	1.93
584591.65	6335073.9	56.7	28	1.7
580626	6317237.45	44.8	25.4	2.1
562987.43	6573479.28	63.1	25	2
566036.41	6556136.64	61.5	25.3	2.3
562334.29	6536964.65	61.1	24	2.38
559369.85	6522721.97	64.4	25.1	2.24
560281.99	6498670.52	56.3	22.6	1.43
560549.49	6488512.66	55.4	25.8	2.17
564983.2	6460703.73	67.8	25.2	2.3
562125.92	6417161.8	65.6	27.3	2.31
562506.2	6396998.1	64.6	28.2	2.14
561287.96	6377056.62	59.5	22.6	2.07
558959.39	6356407.25	53.2	25.9	1.92
565136.39	6336920	52.3	24.4	2.05
561075.51	6317869.86	55.1	26.6	1.83
560453.58	6296710.81	45.4	18.6	1.6
561826.72	6277805.93	39.5	18.4	2
540132.48	6572395.39	60.2	29.8	1.8
540066.35	6554922.98	47.9	19	1.7
540779.77	6533414.79	63.8	22.8	2.5
540148.34	6525651.17	62.4	22.9	2
544374.11	6494569.02	66.2	28.5	2.43
538352.25	6481363.71	53	23.5	2.1
537104.55	6461968.08	64.5	26.5	2.58
532245.03	6442189.31	89.1	30	3.02
541745.02	6421084.4	51.8	20.9	1.73
539590.42	6394001.67	47.3	17.9	1.86
548155.43	6373990.13	54	20.1	1.96
540549.18	6359774.95	52.1	20.4	2.02
545162.87	6334934.06	51.7	20.7	1.94
543884.12	6320334.12	44.1	18.7	3.3
541060.12	6295327.98	41.4	19.2	1.72
534776.97	6267747.44	20.1	12.7	1.75
548234.61	6259178.19	22.5	15.7	1.75
517735.01	6571859.01	61.3	21.9	2.8
521452.94	6557077.16	54.7	20	1.88
518981.65	6539151.93	56.4	27.7	1.9
516398.81	6523475.26	62.2	21.4	2.3
526721.79	6505980.35	64.3	22.6	2.2
521565.99	6479407.82	51.6	18.7	1.7
517747.76	6451336.03	64.5	25.2	2.3
520817.67	6423080.91	63.6	27.7	3.3
521616.09	6394127.28	58	23.8	2.3
523663.16	6374579.7	54.3	20.9	2.5
522161.5	6361885.51	54.5	18.8	2.3
523948.48	6338316.61	46.8	17.6	2.4
522520.03	6315973.81	43.7	17.6	2.1
521852.54	6296956.51	28.6	12.8	2.4
527007.19	6280271.32	25.3	12.9	2.1
515660.94	6259661.03	19.2	17.4	2.8
521364.08	6242214.02	43.3	21.4	1.8
519430.2	6208789.74	30.1	20.2	1.3
497504.29	6595467.86	69.9	20.9	2.6
498859.46	6582924.35	48.7	28.4	2.3
496547.77	6554849.01	61.2	22.3	2.7
502725.07	6522890.39	43.8	18.4	2.1
504966.36	6496753.99	61.7	20.7	2.2
493626.25	6469272.39	60.6	23.3	2.7
503024.7	6459416.44	88.1	18.7	2.4
491398.68	6442386.3	61.8	21.8	2.2
501033.99	6417871.62	63	20	2.4
503837.23	6399236.74	57.3	33	2.6
500936.89	6377536.04	55.9	21.8	2.2
494748.6	6356124.39	49.6	17.7	2.2
500780.99	6333918.03	44.5	20	2
490612.02	6315769.43	36.2	15.3	2.24
499572.02	6292383.84	22.8	14	2.1
505459.79	6279686.88	16.7	12.7	1.59
495630.78	6254220.95	18.8	13.5	1.68
502250.4	6228811.57	31.7	18.1	2.36
500274.48	6213317.47	35.9	16	1.4
501314	6200115.09	30.6	16.2	2.1
470472.31	6684993.25	57.8	24.3	2.2
467093.76	6665903.52	47	17.9	2.8
480380.6	6596977.65	25.3	11.9	1.5
478336.13	6581409.06	55.4	25.7	3.2
478088.6	6555573.5	59.8	20.8	2.16
472449.69	6531217.66	62.7	20.3	2.11
479440.8	6520630.34	30.7	16.3	1
480565.52	6497231.48	60.9	19.9	2.3
481351.78	6454470.98	51.6	25.7	1.75
480685.62	6433791.94	61.5	21.4	2.7
480716.92	6417424.43	55.2	21.6	2.7
477386.81	6397106.59	52	21.3	2.4
477023.58	6378135.27	57.6	17.5	2.6
478417.9	6357823.02	51.4	15.7	2.4
480871.37	6337608.27	42.9	13.7	2.2
472700.37	6317987.42	14.9	11	1.49
481955.4	6299138.96	43.8	17.2	1.8
481424.93	6268437.49	24.7	14.9	2
476134.61	6246140.01	20	12.7	1.96
487791.2	6235224.29	19.2	10.1	3.1
479213.36	6220086.55	41.7	17.5	1.6
478163.29	6197930.61	15.7	9.6	2.1
452452.95	6685685.02	59.2	24.3	2.8
454630.37	6650994.26	57.4	23.2	2
454257.61	6632301.93	31.3	12.6	1.8
463017.16	6617130.56	53	25.3	2.4
459804.01	6596920.25	39.9	13.5	1.74
459951.17	6581355.85	44.3	19.6	2.1
462475.69	6557023.01	35.2	17.9	2.26
456426.16	6528027.06	58.4	21.7	2.77
462239.48	6500270.7	58.6	19.7	2.4
457980.52	6478448.42	62.6	19	2.78
460337.21	6457270.37	59.2	17.8	3
460414.96	6437318.15	48.8	14.9	2.7
459339.54	6416019.79	50.3	15.3	2.1
457447.09	6401522.79	54.8	16.8	3.4
460815.29	6380175.87	39.9	15.2	4.8
465851.56	6355546.78	40	12.6	2.3
464229.43	6338212.38	37.2	13.4	2.1
450952.97	6311663.16	31.4	17.7	1.74
465263.67	6296646.01	40.4	14.9	1.97
460321.84	6275948.22	22.8	13	1.78
456056.18	6258558.29	23.7	11.5	1.46
459850.71	6238129.3	36.8	10.9	1.74
460984.57	6218295.14	26.6	13.2	2.4
460561.64	6198267.71	27.7	14.5	1.8
456152.09	6175430.28	28.4	14.5	1.53
459156.5	6159880.09	32.4	15.9	1.71
448405.03	6145930.74	46.8	26.7	1.9
429559.32	6713097.28	35.3	20.9	1.4
431144.15	6693667.17	56.2	27.3	1.6
441061.88	6675046.78	61.5	22.8	2.4
433488.84	6656235.7	64.8	24.7	2.3
430584.39	6631844.69	59.9	23.5	2.2
439114.39	6616771.45	63.7	23.2	2.1
439227.16	6596823.36	58.9	22.5	3.1
444384.32	6572176.24	58	23	2.48
439454.51	6556925.52	60.1	23.2	2.45
439488.01	6534812.88	61.5	21.9	2.3
442482.7	6521238.9	59.7	19.8	2.28
437738.53	6502293.25	58.5	20.7	2.4
437197.36	6476251.34	53.4	18.8	2.34
440689.25	6459393.96	53.4	18.1	2.01
440150.88	6437218.73	47.4	26.7	1.7
436267.75	6422024.45	52.5	20.6	1.9
443077.86	6398613.19	45.9	18.9	3.2
435863.85	6379223.07	38.4	13.1	1.9
446602.99	6357883.3	0	12.6	1.67
442929	6343521.97	26.5	12.1	1.75
439491.94	6318077.2	12.8	10	1.33
431151.69	6297512.12	20	14.9	1.95
440484.77	6275979.3	19.8	10.8	1.47
440098.62	6250708.9	30.1	12.1	1.45
443317.34	6244372.51	12.3	12.5	1.64
440967.5	6227406.82	29.3	16.2	1.5
438685.11	6206639.95	34.9	19	1.6
440748.31	6181170.21	24.4	15.7	1.6
435022.64	6151497.02	20.9	13.8	1.6
445299.77	6133187.62	28.7	17.9	1.7
409646.23	6716651.09	33.7	19.3	1.4
414484.44	6691598.27	26.9	13.2	1.58
418050.85	6676477.99	43.9	22.1	1.3
414909.64	6656060.91	58	21.9	2.2
415617.58	6642028.94	56.1	20.6	2
423666.86	6616209.04	58	25.9	2.5
418240.45	6593812.04	54.5	23.7	1.9
414895.03	6575416.09	61.9	22.4	2.28
408415.59	6559530.63	58.1	26.5	2.3
419639.81	6535326.89	62.4	21.1	2
418820.67	6517895.2	57.7	19.5	2.5
419416.76	6496935.98	53.1	21.7	2.5
420262.09	6480316.16	59.2	19.8	2.1
419729.09	6457031.74	55.6	15.4	1.7
419886.44	6437078.79	0	10.2	0.8
422555.73	6416998.92	46.6	20.2	1.5
424187.59	6394252.6	36.1	17.8	2.02
420123.24	6377094.15	35.1	19.1	1.7
416997.72	6363301.56	19.9	10	1.42
425171.03	6344753	22	13.9	2.4
417917.15	6326745.97	38.5	22.6	2.91
423547.62	6312202.42	19.8	12.7	1.54
420675.52	6277073.31	26.3	13.1	1.87
432630.41	6256210.77	20.8	13.3	1.72
415059.81	6233150.92	28.7	17.1	1.7
415498.84	6218452.95	18.4	12.2	1.7
413075.1	6197489.78	15.5	12.4	1.5
421888.16	6180591.73	18.2	13.9	1.5
414970.18	6156712.11	14.8	12.2	1.6
415114.34	6136351.04	24.6	15.1	2.2
393546.63	6719911.08	15.9	19.3	1
401410.3	6690743.17	NA	NA	NA
400509.73	6673860.22	35.8	18.2	1
388211.04	6657911.83	22.9	9.6	0.7
397694.75	6636408.88	55.4	20.2	1.7
401699.9	6616495.67	49.4	19.3	2.49
398072.08	6596511.07	49	20.4	1.9
398262.26	6576561.37	42.4	16.4	1.3
391757.12	6558626.52	56.3	24.5	2.1
399062.75	6541123.71	59	19.2	2.1
402114.27	6516158.45	59.2	22.7	2.1
399184.91	6498205.87	53.8	19	1.8
393818.33	6473952.7	60	18.5	2.58
390997.43	6456295.53	44.4	16.6	1.8
399621.51	6436898.31	30.8	11.6	1.4
398740.66	6419517.58	46.8	18.9	1.72
406077.5	6399415.16	39.3	16.3	1.73
401547.59	6373100.2	9.6	10.1	1.36
401702.31	6355988.66	20.6	11.5	1.3
406179.76	6343826.65	18.8	10.8	1.53
407790.89	6317411.91	20.6	11.9	1.57
409014.56	6295733.5	26.7	12.7	1.77
401905.27	6279373.63	24.7	15.3	1.8
401472.93	6255903.18	26	17.7	2.2
398589.21	6235904.79	29.3	13.6	1.9
402509.29	6212628.59	23.2	16.1	1.9
